desig7,nm,Tipo,micro,bairro,d1,cf,le,lat,lon
0003010,CP CRECHE ESCOLA COMUNITÁRIA MÃE SOCIAL,Creche Parceira,3.22,Inhaúma,57,49,0,-22.85981,-43.27907
0003011,CP CRECHE DO CENTRO PASTORAL SOCIAL PADRE JUSTINO RUSSOLILLO,Creche Parceira,3.22,Ramos,30,28,0,-22.85848,-43.27597
0003012,CP CRECHE MÃE DO DIVINO SALVADOR,Creche Parceira,3.8,Piedade,156,146,0,-22.88678,-43.31003
0003013,CP CRECHE DO JACAREZINHO,Creche Parceira,3.13,Cachambi,95,92,0,-22.88897,-43.26652
0003014,CP CRECHE PLANTANDO O AMANHÃ,Creche Parceira,3.15,Del Castilho,299,118,92,-22.87407,-43.28669
0003015,CP CRECHE MARIETTA NAVARRO GAIO,Creche Parceira,3.2,Rocha,33,26,2,-22.90459,-43.25192
0003016,CP CRECHE SÃO PEDRO NOLASCO,Creche Parceira,3.24,Ramos,61,45,1,-22.86244,-43.26375
0003017,CP CRECHE TERNURINHA,Creche Parceira,3.3,Lins de Vasconcelos,25,21,1,-22.91427,-43.27636
0003018,CP FRATERNIDADE ASSISTENCIAL CRISTÃ,Creche Parceira,3.11,Engenho Novo,28,25,1,-22.89988,-43.26966
0003019,CP INSTITUTO EDUCACIONAL CRESCENDO E APRENDENDO ALGODÃO DOCE,Creche Parceira,3.23,Ramos,63,43,15,-22.8599,-43.26788
0003020,CP LAR DA CRIANÇA JESUS BOM PASTOR,Creche Parceira,3.19,Inhaúma,64,66,0,-22.86389,-43.27846
0003021,CP CRECHE COMUNITÁRIA TIA ALICE,Creche Parceira,3.1,Jacaré,106,111,0,-22.88931,-43.25333
0003022,CP INSTITUTO AVANTE ELITE DO FUTURO,Creche Parceira,3.15,Pilares,118,66,19,-22.87454,-43.29387
0003023,CP LAR DE MARIA DOLORES,Creche Parceira,3.2,Rocha,45,35,1,-22.90323,-43.24716
0003024,CP CASA DE LEYLÁ,Creche Parceira,3.1,Sampaio,94,63,0,-22.90124,-43.25925
0003025,CP CENTRO CULTURAL EDUCAR - UNIDADE II,Creche Parceira,3.8,Abolição,193,83,2,-22.88511,-43.30126
0003026,CP CHALÉ SEMENTINHA,Creche Parceira,3.14,Higienópolis,324,122,70,-22.8806,-43.25631
0003027,CP CENTRO CULTURAL EDUCAR - UNIDADE IV,Creche Parceira,3.10,Méier,115,129,0,-22.89739,-43.27466
0003028,CP ESTRELINHA DO MAR,Creche Parceira,3.8,Piedade,105,64,1,-22.88614,-43.30941
0003029,CP CRECHE BRINCANDO COM JUNINHO,Creche Parceira,3.6,Engenho de Dentro,53,52,1,-22.91022,-43.2972
0003030,CP CRECHE TIO KITO,Creche Parceira,3.2,São Francisco Xavier,20,3,9,-22.90434,-43.26414
0003031,CP ESCOLA COMUNITÁRIA JARDIM ARCO-ÍRIS - UNIDADE I,Creche Parceira,3.4,Méier,46,36,12,-22.90675,-43.28005
